Position,FullName,FirstName,LastName,RawTime,RoundedTime,Year,School,Date,Meet,
44,Brian Musau,Brian,Musau,3:40.46,3:40,Fr,Oklahoma State,"May 9, 2024",2024 Big 12 Outdoors,
45,Andrew Payton,Andrew,Payton,3:40.47,3:40,Sr,Little Rock,"May 3, 2024",Arkansas Twilight,
46,Kian Davis,Kian,Davis,3:40.53,3:41,Sr,Oklahoma State,"May 3, 2024",Arkansas Twilight,
47,Ferenc Kovacs,Ferenc,Kovacs,3:40.57,3:41,Fr,Harvard,"April 19, 2024",Wake Forest Invitational,
48,Ayden Granados,Ayden,Granados,3:40.58,3:41,Fr,Oklahoma State,"May 3, 2024",Arkansas Twilight,
49,Evan Dorenkamp,Evan,Dorenkamp,3:40.59,3:41,Sr,Penn State,"April 13, 2024",2024 Bryan Clay Invitational,
50,Cole Lindhorst,Cole,Lindhorst,3:40.61,3:41,Sr,Texas,"May 9, 2024",2024 Big 12 Outdoors,
51,Harvey Cramb,Harvey,Cramb,3:40.67,3:41,Fr,Montana State,"April 13, 2024",2024 Bryan Clay Invitational,
52,Lucas Guerra,Lucas,Guerra,3:40.71,3:41,Jr,Georgetown,"June 9, 2024",2024 Portland Track Festival High Performance,
53,Austin Gabay,Austin,Gabay,3:40.73,3:41,Sr,Duke,"April 12, 2024",Duke Invitational,
54,Sam Whitmarsh,Sam,Whitmarsh,3:40.74,3:41,Jr,Texas A&M,"April 13, 2024",Tom Jones Memorial Invitational,
55,Matt Strangio,Matt,Strangio,3:40.75,3:41,Jr,Portland,"April 13, 2024",2024 Bryan Clay Invitational,
56,Tomas Palfrey,Tomas,Palfrey,3:40.76,3:41,Jr,Oregon,"May 22, 2024",NCAA DI Outdoor Championships - West First-Rounds,
57,Daelen Ackley,Daelen,Ackley,3:40.77,3:41,So,Notre Dame,"April 19, 2024",Wake Forest Invitational,
58,Kyle Harkabus,Kyle,Harkabus,3:40.78,3:41,Sr,Liberty,"May 3, 2024",The Hill City Twilight,
59,Jackson Sharp,Jackson,Sharp,3:40.78,3:41,Sr,Wisconsin,"May 22, 2024",NCAA DI Outdoor Championships - West First-Rounds,
60,Jason Clayton,Jason,Clayton,3:40.80,3:41,Jr,Loyola-Chicago,"June 9, 2024",2024 Portland Track Festival High Performance,
61,Connor Mccormick,Connor,Mccormick,3:40.81,3:41,So,Princeton,"May 9, 2024",West Point Twilight,
62,Jack Crull,Jack,Crull,3:40.83,3:41,Sr,Bradley,"March 30, 2024",Raleigh Relays,
63,Jesse Hamlin,Jesse,Hamlin,3:40.87,3:41,Sr,Butler,"April 13, 2024",2024 Bryan Clay Invitational,
64,Michael Danzi,Michael,Danzi,3:40.87,3:41,Sr,Columbia,"April 19, 2024",Wake Forest Invitational,
65,Conor Murphy,Conor,Murphy,3:40.88,3:41,Sr,Virginia,"March 30, 2024",Raleigh Relays,
66,Cameron Ponder,Cameron,Ponder,3:40.90,3:41,Sr,Furman,"April 19, 2024",Wake Forest Invitational,
67,William Merrick,William,Merrick,3:40.90,3:41,Jr,Illinois,"May 4, 2024",Illini Tune-Up,
68,Marcus Kemp,Marcus,Kemp,3:40.92,3:41,Sr,Eastern Michigan,"May 3, 2024",2024 Billy Hays Inv.,
69,Juan Diego Castro,Juan,Diego Castro,3:40.93,3:41,Jr,Azusa Pacific,"March 22, 2024",Mangrum Invite,
70,Trent McFarland,Trent,McFarland,3:40.93,3:41,Fr,Michigan,"April 19, 2024",Wake Forest Invitational,
71,Roberto Fajardo,Roberto,Fajardo,3:40.98,3:41,Sr,Lee (Tenn.),"April 19, 2024",Georgia Tech Invitational,
72,Paul Specht,Paul,Specht,3:40.99,3:41,So,Wake Forest,"April 19, 2024",Wake Forest Invitational,
73,Sean Donoghue,Sean,Donoghue,3:41.02,3:41,Jr,Villanova,"April 13, 2024",2024 Bryan Clay Invitational,
74,Collin Gilstrap,Collin,Gilstrap,3:41.03,3:41,Fr,Stony Brook,"March 30, 2024",Raleigh Relays,
75,Jack Stanley,Jack,Stanley,3:41.10,3:41,Sr,Princeton,"May 9, 2024",West Point Twilight,
76,Collin Boler,Collin,Boler,3:41.21,3:41,Fr,Princeton,"May 9, 2024",West Point Twilight,
77,Cruz Gomez,Cruz,Gomez,3:41.29,3:41,Sr,Ole Miss,"April 5, 2024",2024 Joe Walker Invitational,
78,Devon Comber,Devon,Comber,3:41.32,3:41,So,Villanova,"April 13, 2024",2024 Bryan Clay Invitational,
79,Dominic Serem,Dominic,Serem,3:41.35,3:41,Fr,Oklahoma,"May 3, 2024",Arkansas Twilight,
80,Ryan Wilson,Ryan,Wilson,3:41.36,3:41,Sr,Duke,"April 12, 2024",Duke Invitational,
81,Beck Wittstadt,Beck,Wittstadt,3:41.37,3:41,Jr,Duke,"March 30, 2024",Raleigh Relays,
82,Devan Kipyego,Devan,Kipyego,3:41.38,3:41,Fr,Iowa State,"May 9, 2024",2024 Big 12 Outdoors,
83,Jake Gebhardt,Jake,Gebhardt,3:41.40,3:41,Sr,North Carolina,"April 12, 2024",Duke Invitational,
84,Carson Smith,Carson,Smith,3:41.41,3:41,So,Cal Poly,"May 22, 2024",NCAA DI Outdoor Championships - West First-Rounds,
85,Ryan Kinnane,Ryan,Kinnane,3:41.42,3:41,Sr,Auburn,"March 29, 2024",Florida Relays,
86,David Slapak,David,Slapak,3:41.47,3:41,Fr,Butler,"May 3, 2024",2024 Billy Hays Inv.,
87,Ky Robinson,Ky,Robinson,3:41.56,3:42,Sr,Stanford,"April 26, 2024",Payton Jordan Cardinal Invitational,
88,Christopher Cherry,Christopher,Cherry,3:41.58,3:42,Jr,Tennessee,"April 19, 2024",Wake Forest Invitational,
89,Martin Prodanov,Martin,Prodanov,3:41.58,3:42,Sr,Florida State,"April 19, 2024",Wake Forest Invitational,
90,Habtom Samuel,Habtom,Samuel,3:41.61,3:42,Fr,New Mexico,"April 13, 2024",2024 Bryan Clay Invitational,
91,Jaouad Khchina,Jaouad,Khchina,3:41.63,3:42,Fr,South Carolina,"April 13, 2024",Tom Jones Memorial Invitational,
92,Chris Caudillo,Chris,Caudillo,3:41.69,3:42,Fr,Cal Poly,"May 4, 2024",Occidental Invitational,
93,Gabe Scales,Gabe,Scales,3:41.70,3:42,So,Ole Miss,"April 5, 2024",2024 Joe Walker Invitational,
94,Rynard Swanepoel,Rynard,Swanepoel,3:41.70,3:42,Jr,Wake Forest,"April 12, 2024",Duke Invitational,
95,James Schmidt,James,Schmidt,3:41.71,3:42,Jr,Lipscomb,"April 26, 2024",Music City Outdoor Challenge,
96,Aidan Lord,Aidan,Lord,3:41.77,3:42,Fr,Indiana,"May 3, 2024",2024 Billy Hays Inv.,
97,Cooper Cawthra,Cooper,Cawthra,3:41.78,3:42,Jr,Texas A&M,"May 22, 2024",NCAA DI Outdoor Championships - West First-Rounds,
98,Luca Santorum,Luca,Santorum,3:41.79,3:42,Fr,Cumberlands (Ky.),"March 30, 2024",Raleigh Relays,
99,Ronan McMahon-Staggs,Ronan,McMahon-Staggs,3:41.80,3:42,Jr,Washington,"April 26, 2024",Payton Jordan Cardinal Invitational,
100,Maddon Muhammad,Maddon,Muhammad,3:41.82,3:42,Jr,Charlotte,"April 19, 2024",Wake Forest Invitational,
101,Max Hardin,Max,Hardin,3:41.83,3:42,Fr,Auburn,"March 29, 2024",Florida Relays,
102,Romain Legendre,Romain,Legendre,3:41.84,3:42,Jr,Adams State,"April 13, 2024",2024 Bryan Clay Invitational,
103,Emilio Young,Emilio,Young,3:41.84,3:42,Fr,Stanford,"May 22, 2024",NCAA DI Outdoor Championships - West First-Rounds,
104,Will Coogan,Will,Coogan,3:41.84,3:42,Sr,North Carolina,"June 8, 2024",The Adrian Martinez Classic,
105,Yasin Sado,Yasin,Sado,3:41.86,3:42,Sr,Virginia,"April 13, 2024",2024 Bryan Clay Invitational,
106,Benjamin Nibbelink,Benjamin,Nibbelink,3:41.86,3:42,Sr,Wisconsin,"May 3, 2024",Badger Challenge,
107,Jan Badia,Jan,Badia,3:41.89,3:42,Jr,Eastern Kentucky,"April 19, 2024",Wake Forest Invitational,
108,Ethan Coleman,Ethan,Coleman,3:41.90,3:42,So,Virginia Tech,"April 19, 2024",Wake Forest Invitational,
109,Aiden Coles,Aiden,Coles,3:41.91,3:42,So,Iona,"May 11, 2024",Yale Twilight,
110,Arjun Jha,Arjun,Jha,3:41.97,3:42,Sr,Michigan,"April 19, 2024",Wake Forest Invitational,
111,Parker Schneider,Parker,Schneider,3:42.05,3:42,So,Boston University,"April 19, 2024",Wake Forest Invitational,
112,Eli Hoeft,Eli,Hoeft,3:42.05,3:42,Sr,Minnesota,"May 22, 2024",NCAA DI Outdoor Championships - West First-Rounds,
113,Riley Flemington,Riley,Flemington,3:42.06,3:42,So,Michigan,"April 19, 2024",Wake Forest Invitational,
114,Pierce Seigne,Pierce,Seigne,3:42.06,3:42,Fr,Wisconsin,"May 3, 2024",Badger Challenge,
115,Zubeir Dagane,Zubeir,Dagane,3:42.07,3:42,Sr,Duke,"April 12, 2024",Duke Invitational,
116,Jed Helker,Jed,Helker,3:42.08,3:42,Jr,Cincinnati,"May 9, 2024",2024 Big 12 Outdoors,
117,Edward (EJ) Rush,Edward,(EJ) Rush,3:42.13,3:42,Jr,Texas Tech,"April 13, 2024",2024 Bryan Clay Invitational,
118,Jake Winslow,Jake,Winslow,3:42.18,3:42,Sr,Duke,"April 12, 2024",Duke Invitational,
119,Habtamu Geta,Habtamu,Geta,3:42.20,3:42,Sr,Middle Tennessee,"April 26, 2024",Music City Outdoor Challenge,
120,Yusuf Bizimana,Yusuf,Bizimana,3:42.20,3:42,Sr,Texas,"May 9, 2024",2024 Big 12 Outdoors,
121,Jacob Cann,Jacob,Cann,3:42.22,3:42,Sr,San Francisco,"May 4, 2024",Occidental Invitational,
122,Nicholas Bendtsen,Nicholas,Bendtsen,3:42.26,3:42,Jr,Princeton,"April 12, 2024",Larry Ellis Invitational,
123,Tanner Newkirk,Tanner,Newkirk,3:42.39,3:42,So,Kansas,"May 9, 2024",2024 Big 12 Outdoors,
124,Ethan Mills,Ethan,Mills,3:42.41,3:42,Sr,Virginia Tech,"May 3, 2024",The Hill City Twilight,
125,Kelton Gagnon,Kelton,Gagnon,3:42.46,3:42,So,Weber State,"May 22, 2024",NCAA DI Outdoor Championships - West First-Rounds,
126,Ryan Fowkes,Ryan,Fowkes,3:42.47,3:42,Sr,George Washington,"June 8, 2024",The Adrian Martinez Classic,
127,Rob McManus,Rob,McManus,3:42.56,3:43,So,Montana State,"April 13, 2024",2024 Bryan Clay Invitational,
128,Nick Nyman,Nick,Nyman,3:42.56,3:43,Sr,Georgia Tech,"April 19, 2024",Georgia Tech Invitational,
129,Rhys Hammond,Rhys,Hammond,3:42.57,3:43,Sr,Cornell,"April 12, 2024",Larry Ellis Invitational,
130,Zach Hughes,Zach,Hughes,3:42.63,3:43,Jr,NC State,"April 19, 2024",Wake Forest Invitational,
131,Bryan Hernandez,Bryan,Hernandez,3:42.63,3:43,Sr,Lipscomb,"April 26, 2024",Music City Outdoor Challenge,
132,Taha Er Raouy,Taha,Er Raouy,3:42.67,3:43,Fr,Eastern Kentucky,"April 13, 2024",2024 Bryan Clay Invitational,
133,Dalton Hengst,Dalton,Hengst,3:42.67,3:43,Sr,Tennessee,"April 19, 2024",Wake Forest Invitational,
134,Joseph dosReis,Joseph,dosReis,3:42.76,3:43,Sr,Wisconsin,"April 19, 2024",Wake Forest Invitational,
135,Emanuel Galdino,Emanuel,Galdino,3:42.77,3:43,So,Iowa State,"May 3, 2024",ISU Alumni Invitational,
136,Nathan Mountain,Nathan,Mountain,3:42.78,3:43,Jr,Virginia,"April 13, 2024",2024 Bryan Clay Invitational,
137,Kang Nyoak,Kang,Nyoak,3:42.78,3:43,Sr,Northern Arizona,"June 9, 2024",2024 Portland Track Festival High Performance,
138,Carter Cutting,Carter,Cutting,3:42.81,3:43,Fr,BYU,"May 9, 2024",2024 Big 12 Outdoors,
139,Leo Daschbach,Leo,Daschbach,3:42.84,3:43,Sr,Washington,"April 13, 2024",2024 Bryan Clay Invitational,
140,Spencer Pickren,Spencer,Pickren,3:42.87,3:43,Jr,Cal Poly,"May 4, 2024",Occidental Invitational,
141,Patrick Lyell,Patrick,Lyell,3:42.88,3:43,Jr,Grand Valley State,"May 11, 2024",Lee Last Chance,
142,Finn Walsh,Finn,Walsh,3:42.92,3:43,Jr,Pittsburgh,"April 19, 2024",Wake Forest Invitational,
143,Jack Eliason,Jack,Eliason,3:43.00,3:43,Sr,Virginia,"March 30, 2024",Raleigh Relays,
144,Bryce Anderson,Bryce,Anderson,3:43.02,3:43,Jr,Charlotte,"April 26, 2024",2024 Charlotte Invite,
145,Alec Esposito,Alec,Esposito,3:43.02,3:43,Sr,Charlotte,"April 27, 2024",2024 Charlotte Invite,
146,Carter Solomon,Carter,Solomon,3:43.04,3:43,Jr,Notre Dame,"March 30, 2024",Raleigh Relays,
147,Jacob Lewis,Jacob,Lewis,3:43.04,3:43,Sr,Tennessee,"April 19, 2024",Wake Forest Invitational,
148,Brogan Giffin,Brogan,Giffin,3:43.09,3:43,Jr,Drake,"May 3, 2024",ISU Alumni Invitational,
149,Caleb Futter,Caleb,Futter,3:43.12,3:43,Sr,Grand Valley State,"April 25, 2024",GVSU Extra Weekend Meet,
150,Parker Stokes,Parker,Stokes,3:43.16,3:43,Sr,Georgetown,"April 5, 2024",George Mason Ebanks Invitational,
151,Lewis Westwood,Lewis,Westwood,3:43.18,3:43,So,Cal Poly,"May 4, 2024",Occidental Invitational,
152,Mason Strader,Mason,Strader,3:43.18,3:43,Sr,Pittsburg State,"May 11, 2024",Lee Last Chance,
153,Jason Thomson,Jason,Thomson,3:43.22,3:43,Jr,High Point,"May 1, 2024",Liberty Twilight Qualifier,
154,Ero Doce,Ero,Doce,3:43.23,3:43,Sr,Stanislaus State,"April 26, 2024",Fresno State Invitational,
155,Edwin Klanke,Edwin,Klanke,3:43.26,3:43,Jr,Penn,"May 9, 2024",West Point Twilight,
156,Edward Bird,Edward,Bird,3:43.38,3:43,Fr,Kentucky,"April 20, 2024",Jim Green Track & Field Invitational,
157,Rogerio Amaral,Rogerio,Amaral,3:43.40,3:43,Jr,South Carolina,"April 13, 2024",Tom Jones Memorial Invitational,
158,Dominic Suliman,Dominic,Suliman,3:43.41,3:43,Jr,Saginaw Valley State,"May 11, 2024",Lee Last Chance,
159,Jake Renfree,Jake,Renfree,3:43.49,3:43,Sr,Notre Dame,"March 30, 2024",Raleigh Relays,
160,Owen Huard,Owen,Huard,3:43.50,3:44,Jr,Michigan State,"April 20, 2024",Virginia Challenge,
161,Aarón Las Heras,Aarón,Las Heras,3:43.50,3:44,Sr,Northern Arizona,"May 10, 2024",2024 Big Sky Outdoor Track & Field Championship,
162,Brett Gardner,Brett,Gardner,3:43.52,3:44,Sr,NC State,"April 12, 2024",Duke Invitational,
163,Declan Rymer,Declan,Rymer,3:43.52,3:44,Jr,Virginia Tech,"April 28, 2024",Virginia High Performance,
164,Rocky Hansen,Rocky,Hansen,3:43.52,3:44,Fr,Wake Forest,"May 9, 2024",ACC Outdoor Championships,
165,Jake Allen,Jake,Allen,3:43.54,3:44,Sr,Kentucky,"April 20, 2024",Jim Green Track & Field Invitational,
166,Henry Johnson,Henry,Johnson,3:43.56,3:44,Jr,Michigan,"March 29, 2024",Battle on the Bayou,
167,Wyatt Haughton,Wyatt,Haughton,3:43.58,3:44,Fr,BYU,"April 13, 2024",2024 Bryan Clay Invitational,
168,Canaan Anderson,Canaan,Anderson,3:43.62,3:44,Jr,Tennessee,"April 19, 2024",Wake Forest Invitational,
169,Youssef Asslouj,Youssef,Asslouj,3:43.62,3:44,Fr,Cumberlands (Ky.),"April 20, 2024",Virginia Challenge,
170,Rory Cavan,Rory,Cavan,3:43.65,3:44,Sr,Duke,"April 26, 2024",2024 Charlotte Invite,
171,Matias Reynaga,Matias,Reynaga,3:43.67,3:44,Jr,California Baptist,"May 9, 2024",WAC Outdoor Championships,
172,Sam Llaneza,Sam,Llaneza,3:43.69,3:44,Jr,Lynchburg,"May 3, 2024",The Hill City Twilight,
173,Jason Dworak,Jason,Dworak,3:43.69,3:44,Jr,Indiana State,"May 3, 2024",2024 Billy Hays Inv.,
174,George Couttie,George,Couttie,3:43.70,3:44,Fr,Charleston (W.Va.),"March 30, 2024",Raleigh Relays,
175,Martin Segurola,Martin,Segurola,3:43.70,3:44,So,Indiana,"May 3, 2024",2024 Billy Hays Inv.,
176,Rhen Langley,Rhen,Langley,3:43.72,3:44,Fr,LSU,"March 29, 2024",Battle on the Bayou,
177,Chasen Hunt,Chasen,Hunt,3:43.77,3:44,So,Lynchburg,"May 3, 2024",The Hill City Twilight,
178,Dylan Sprecker,Dylan,Sprecker,3:43.78,3:44,Fr,Pittsburg State,"May 9, 2024",Bison Last Chance,
179,Benjamin Godish,Benjamin,Godish,3:43.79,3:44,Jr,Northeastern,"April 19, 2024",Wake Forest Invitational,
180,Luke Simpson,Luke,Simpson,3:43.79,3:44,So,Pittsburgh,"April 19, 2024",Wake Forest Invitational,
181,Duncan Miller,Duncan,Miller,3:43.91,3:44,Jr,Princeton,"April 12, 2024",Larry Ellis Invitational,
182,Ollie Newman,Ollie,Newman,3:43.93,3:44,Sr,Boise State,"April 13, 2024",2024 Bryan Clay Invitational,
183,Florian LePallec,Florian,LePallec,3:43.93,3:44,Sr,Butler,"May 3, 2024",2024 Billy Hays Inv.,
184,Bryce Stachewicz,Bryce,Stachewicz,3:43.94,3:44,Fr,Wisconsin,"May 3, 2024",Badger Challenge,
185,Zak Freeland,Zak,Freeland,3:43.96,3:44,So,Queens (N.C.),"April 26, 2024",2024 Charlotte Invite,
186,Graham Ferguson,Graham,Ferguson,3:43.97,3:44,Jr,High Point,"May 12, 2024",Dani Palooza Last Chance,
187,Hamdani Benahmed,Hamdani,Benahmed,3:44.06,3:44,Fr,South Plains (Texas),"April 21, 2024",2024 Buffalo Invitational,
188,Gus Gannon,Gus,Gannon,3:44.06,3:44,So,Rice,"May 3, 2024",Tom Tellez Invitational,
189,Davis Helmerich,Davis,Helmerich,3:44.07,3:44,Sr,Missouri,"May 11, 2024",SEC Outdoor Championships,
190,Jonas Price,Jonas,Price,3:44.11,3:44,Sr,Oklahoma State,"May 3, 2024",Arkansas Twilight,
191,Michael Keehan,Michael,Keehan,3:44.12,3:44,Sr,Duke,"April 12, 2024",Duke Invitational,
192,Estanis Ruiz,Estanis,Ruiz,3:44.19,3:44,Jr,Portland,"April 13, 2024",2024 Bryan Clay Invitational,
193,Hamza Chahid,Hamza,Chahid,3:44.19,3:44,So,Wingate,"April 13, 2024",2024 Bryan Clay Invitational,
194,Luca Poppe,Luca,Poppe,3:44.20,3:44,So,Wingate,"April 26, 2024",2024 Charlotte Invite,
195,Max Hartke,Max,Hartke,3:44.24,3:44,Jr,Wisconsin,"April 25, 2024",The 2024 Penn Relays (College),
196,Brian Masai,Brian,Masai,3:44.26,3:44,So,Akron,"April 25, 2024",GVSU Extra Weekend Meet,
197,Ryan Hartman,Ryan,Hartman,3:44.27,3:44,Sr,Augustana (S.D.),"April 24, 2024",Drake Relays (College),
198,Noah Hibbard,Noah,Hibbard,3:44.29,3:44,Sr,Colorado,"April 26, 2024",Payton Jordan Cardinal Invitational,
199,Justin Pretre,Justin,Pretre,3:44.29,3:44,Fr,California,"April 30, 2024",Cal at Stanford (The Big Meet),
200,Aziz Mohamed,Aziz,Mohamed,3:44.32,3:44,So,West Texas A&M,"April 21, 2024",2024 Buffalo Invitational,
201,Samuel Field,Samuel,Field,3:44.33,3:44,Jr,New Mexico,"April 13, 2024",2024 Bryan Clay Invitational,
202,Valentin Soca,Valentin,Soca,3:44.34,3:44,Jr,California Baptist,"May 9, 2024",WAC Outdoor Championships,
203,Cole Benoit,Cole,Benoit,3:44.35,3:44,Sr,Mississippi College,"April 19, 2024",Georgia Tech Invitational,
204,Myles Hogan,Myles,Hogan,3:44.38,3:44,So,Princeton,"May 9, 2024",West Point Twilight,
205,Harrison Martinenko,Harrison,Martinenko,3:44.39,3:44,Sr,Saint Louis,"April 24, 2024",Drake Relays (College),
206,Edwin Kiprop,Edwin,Kiprop,3:44.39,3:44,Fr,Liberty,"May 1, 2024",Liberty Twilight Qualifier,
207,Brodey Hasty,Brodey,Hasty,3:44.47,3:44,Sr,Northern Arizona,"April 13, 2024",2024 Bryan Clay Invitational,
208,Caleb Easton,Caleb,Easton,3:44.48,3:44,Sr,Northern Arizona,"April 13, 2024",2024 Bryan Clay Invitational,
209,Brian Kiptoo,Brian,Kiptoo,3:44.48,3:44,So,Middle Tennessee,"April 26, 2024",Music City Outdoor Challenge,
210,Matthew Newell,Matthew,Newell,3:44.49,3:44,So,Navy,"April 20, 2024",Virginia Challenge,
211,Mohammed Kowa,Mohammed,Kowa,3:44.50,3:45,So,Iowa Western CC,"May 5, 2024",Region XI Championships,
212,Joe Wester,Joe,Wester,3:44.51,3:45,Jr,Florida,"May 11, 2024",SEC Outdoor Championships,
213,Seth Elking,Seth,Elking,3:44.59,3:45,Fr,Cincinnati,"April 19, 2024",Wake Forest Invitational,
214,Jagger Zlotoff,Jagger,Zlotoff,3:44.64,3:45,So,UC-Colorado Springs,"June 9, 2024",2024 Portland Track Festival High Performance,
215,Nathan Kapel,Nathan,Kapel,3:44.69,3:45,Fr,Stephen F. Austin,"May 22, 2024",NCAA DI Outdoor Championships - West First-Rounds,
216,Freddy Richardson,Freddy,Richardson,3:44.70,3:45,Jr,Lamar,"April 13, 2024",2024 Bryan Clay Invitational,
217,Joan Tapias,Joan,Tapias,3:44.70,3:45,Sr,Eastern Kentucky,"May 3, 2024",2024 Billy Hays Inv.,
218,Jared Rogalski,Jared,Rogalski,3:44.76,3:45,Sr,Albany,"May 9, 2024",West Point Twilight,
219,Jeremy Kain,Jeremy,Kain,3:44.79,3:45,So,Duke,"April 12, 2024",Duke Invitational,
220,Luke Nester,Luke,Nester,3:44.79,3:45,Jr,Navy,"April 20, 2024",Virginia Challenge,
221,Nick Melanese,Nick,Melanese,3:44.80,3:45,Jr,Cal State San Marcos,"March 22, 2024",Mangrum Invite,
222,Cooper Atkins,Cooper,Atkins,3:44.83,3:45,Jr,Auburn,"March 29, 2024",Florida Relays,
